# URI 2026 Dual Actuator TVC Experiment
# Mode: Circle
# Controller: PID
# Circle: tilt 10.0 deg, W1=0.2 rad/s
# Geometry[in]: H1=13.28 H2=9.51 R=6.2 ELL=0.6 measured=True
# TiltLimit: 45.0 deg   Ts: 0.002s   Duration: 60s
# t	e1	e2	x1	x2	xd1	xd2	u1	u2	phi	theta	tilt	dt
0.0020	0.00	0.00	0.0	0.0	-4793.8	-348.8	-0.0045	-0.0044	0.00000	0.00000	0.000	0.002001
0.0040	0.02	0.00	0.0	0.0	-4793.8	-350.6	-0.0003	-0.0002	0.00000	0.00000	0.000	0.001999
0.0060	0.04	0.00	0.0	0.0	-4793.8	-352.4	0.0043	0.0045	0.00000	0.00000	0.000	0.002000
0.0080	0.08	0.01	0.0	0.0	-4793.8	-354.1	-0.0002	0.0001	0.00000	0.00000	0.000	0.002000
0.0100	0.12	0.01	0.0	0.0	-4793.8	-355.9	-0.0050	-0.0046	0.00000	0.00000	0.000	0.002000
0.0120	0.17	0.01	0.0	0.0	-4793.8	-357.7	-0.0100	-0.0002	0.00000	0.00000	0.000	0.002000
0.0140	0.23	0.02	0.0	0.0	-4793.8	-359.4	-0.0060	0.0044	0.00000	0.00000	0.000	0.002000
0.0160	0.31	0.02	0.0	0.0	-4793.8	-361.2	-0.0017	-0.0000	0.00000	0.00000	0.000	0.002000
0.0180	0.39	0.03	0.0	0.0	-4793.8	-362.9	-0.0064	-0.0047	0.00000	0.00000	0.000	0.002000
0.0200	0.48	0.04	0.0	0.0	-4793.8	-364.7	-0.0115	-0.0003	0.00000	0.00000	0.000	0.002000
0.0220	0.58	0.04	0.0	0.0	-4793.8	-366.5	-0.0166	0.0043	0.00000	0.00000	0.000	0.002000
0.0240	0.69	0.05	0.0	0.0	-4793.8	-368.2	-0.0218	-0.0002	0.00000	0.00000	0.000	0.002000
0.0260	0.81	0.06	0.0	0.0	-4793.7	-370.0	-0.0180	-0.0048	0.00000	0.00000	0.000	0.002000
0.0280	0.94	0.07	0.0	0.0	-4793.7	-371.8	-0.0141	-0.0005	0.00000	0.00000	0.000	0.002000
0.0300	1.08	0.08	0.0	0.0	-4793.7	-373.5	-0.0192	0.0041	0.00000	0.00000	0.000	0.002000
0.0320	1.23	0.10	0.0	0.0	-4793.7	-375.3	-0.0245	-0.0004	0.00000	0.00000	0.000	0.002000
0.0340	1.39	0.11	0.0	0.0	-4793.7	-377.1	-0.0299	-0.0051	0.00000	0.00000	0.000	0.002000
0.0360	1.55	0.12	0.0	0.0	-4793.7	-378.8	-0.0264	-0.0007	0.00000	0.00000	0.000	0.002000
0.0380	1.73	0.14	0.0	0.0	-4793.7	-380.6	-0.0226	0.0038	0.00000	0.00000	0.000	0.002000
0.0400	1.92	0.15	0.0	0.0	-4793.7	-382.3	-0.0280	-0.0007	0.00000	0.00000	0.000	0.002000
0.0420	2.11	0.17	0.0	0.0	-4793.6	-384.1	-0.0336	-0.0054	0.00000	0.00000	0.000	0.002000
0.0440	2.32	0.19	0.0	0.0	-4793.6	-385.9	-0.0392	-0.0011	0.00000	0.00000	0.000	0.002000
0.0460	2.53	0.20	0.0	0.0	-4793.6	-387.6	-0.0359	0.0035	0.00000	0.00000	0.000	0.002000
0.0480	2.76	0.22	0.0	0.0	-4793.6	-389.4	-0.0324	-0.0010	0.00000	0.00000	0.000	0.002000
0.0500	2.99	0.24	0.0	0.0	-4793.6	-391.2	-0.0380	-0.0057	0.00000	0.00000	0.000	0.002000
0.0520	3.24	0.27	0.0	0.0	-4793.6	-392.9	-0.0438	-0.0104	0.00000	0.00000	0.000	0.002000
0.0540	3.49	0.29	0.0	0.0	-4793.5	-394.7	-0.0497	-0.0062	0.00000	0.00000	0.000	0.002000
0.0560	3.76	0.31	0.0	0.0	-4793.5	-396.4	-0.0466	-0.0017	0.00000	0.00000	0.000	0.002000
0.0580	4.03	0.33	0.0	0.0	-4793.5	-398.2	-0.0434	0.0028	0.00000	0.00000	0.000	0.002000
0.0600	4.31	0.36	0.0	0.0	-4793.5	-400.0	-0.0492	-0.0017	0.00000	0.00000	0.000	0.002000
0.0620	4.60	0.39	0.0	0.0	-4793.5	-401.7	-0.0552	-0.0064	0.00000	0.00000	0.000	0.002000
0.0640	4.91	0.41	0.0	0.0	-4793.4	-403.5	-0.0614	-0.0112	0.00000	0.00000	0.000	0.002000
0.0660	5.22	0.44	0.0	0.0	-4793.4	-405.3	-0.0586	-0.0069	0.00000	0.00000	0.000	0.002000
0.0680	5.54	0.47	0.0	0.0	-4793.4	-407.0	-0.0556	-0.0025	0.00000	0.00000	0.000	0.002000
0.0700	5.87	0.50	0.0	0.0	-4793.4	-408.8	-0.0616	-0.0070	0.00000	0.00000	0.000	0.002000
0.0720	6.21	0.53	0.0	0.0	-4793.3	-410.5	-0.0679	-0.0118	0.00000	0.00000	0.000	0.002000
0.0740	6.56	0.56	0.0	0.0	-4793.3	-412.3	-0.0743	-0.0076	0.00000	0.00000	0.000	0.002000
0.0760	6.91	0.60	0.0	0.0	-4793.3	-414.1	-0.0717	-0.0031	0.00000	0.00000	0.000	0.002000
0.0780	7.28	0.63	0.0	0.0	-4793.3	-415.8	-0.0689	-0.0077	0.00000	0.00000	0.000	0.002000
0.0800	7.66	0.67	0.0	0.0	-4793.2	-417.6	-0.0752	-0.0125	0.00000	0.00000	0.000	0.002000
0.0820	8.05	0.70	0.0	0.0	-4793.2	-419.4	-0.0817	-0.0083	0.00000	0.00000	0.000	0.002000
0.0840	8.45	0.74	0.0	0.0	-4793.2	-421.1	-0.0884	-0.0038	0.00000	0.00000	0.000	0.002000
0.0860	8.85	0.78	0.0	0.0	-4793.2	-422.9	-0.0860	-0.0084	0.00000	0.00000	0.000	0.002000
0.0880	9.27	0.82	0.0	0.0	-4793.1	-424.6	-0.0835	-0.0132	0.00000	0.00000	0.000	0.002000
0.0900	9.69	0.86	0.0	0.0	-4793.1	-426.4	-0.0900	-0.0090	0.00000	0.00000	0.000	0.002000
0.0920	10.13	0.90	0.0	0.0	-4793.1	-428.2	-0.0968	-0.0046	0.00000	0.00000	0.000	0.002000
0.0940	10.57	0.95	0.0	0.0	-4793.0	-429.9	-0.1036	-0.0093	0.00000	0.00000	0.000	0.002000
0.0960	11.03	0.99	0.0	0.0	-4793.0	-431.7	-0.1015	-0.0141	0.00000	0.00000	0.000	0.002000
0.0980	11.49	1.04	0.0	0.0	-4793.0	-433.5	-0.0993	-0.0099	0.00000	0.00000	0.000	0.002000
0.1000	11.96	1.09	0.0	0.0	-4792.9	-435.2	-0.1060	-0.0056	0.00000	0.00000	0.000	0.002000
0.1020	12.44	1.13	0.0	0.0	-4792.9	-437.0	-0.1130	-0.0102	0.00000	0.00000	0.000	0.002000
0.1040	12.94	1.18	0.0	0.0	-4792.9	-438.7	-0.1201	-0.0151	0.00000	0.00000	0.000	0.002000
0.1060	13.44	1.24	0.0	0.0	-4792.8	-440.5	-0.1183	-0.0109	0.00000	0.00000	0.000	0.002000
0.1080	13.95	1.29	0.0	0.0	-4792.8	-442.3	-0.1162	-0.0066	0.00000	0.00000	0.000	0.002000
0.1100	14.47	1.34	0.0	0.0	-4792.7	-444.0	-0.1231	-0.0112	0.00000	0.00000	0.000	0.002000
0.1120	15.00	1.40	0.0	0.0	-4792.7	-445.8	-0.1304	-0.0161	0.00000	0.00000	0.000	0.002000
0.1140	15.54	1.45	0.0	0.0	-4792.7	-447.6	-0.1377	-0.0120	0.00000	0.00000	0.000	0.002000
0.1160	16.09	1.51	0.0	0.0	-4792.6	-449.3	-0.1451	-0.0077	0.00000	0.00000	0.000	0.002000
0.1180	16.64	1.57	0.0	0.0	-4792.6	-451.1	-0.1435	-0.0124	0.00000	0.00000	0.000	0.002000
0.1200	17.21	1.63	0.0	0.0	-4792.5	-452.8	-0.1418	-0.0173	0.00000	0.00000	0.000	0.002000
0.1220	17.79	1.69	0.0	0.0	-4792.5	-454.6	-0.1491	-0.0132	0.00000	0.00000	0.000	0.002000
0.1240	18.38	1.75	0.0	0.0	-4792.5	-456.4	-0.1566	-0.0089	0.00000	0.00000	0.000	0.002000
0.1260	18.97	1.81	0.0	0.0	-4792.4	-458.1	-0.1642	-0.0136	0.00000	0.00000	0.000	0.002000
0.1280	19.58	1.88	0.0	0.0	-4792.4	-459.9	-0.1629	-0.0185	0.00000	0.00000	0.000	0.002000
0.1300	20.19	1.95	0.0	0.0	-4792.3	-461.7	-0.1613	-0.0235	0.00000	0.00000	0.000	0.002000
0.1320	20.81	2.01	0.0	0.0	-4792.3	-463.4	-0.1688	-0.0194	0.00000	0.00000	0.000	0.002000
